iter	Passed	Remaining
702	12097	4560
703	12108	4540
704	12118	4520
705	12130	4501
706	12143	4482
707	12153	4463
708	12164	4443
709	12176	4424
710	12189	4406
711	12201	4387
712	12212	4367
713	12223	4348
714	12235	4329
715	12248	4310
716	12260	4292
717	12272	4273
718	12283	4254
719	12297	4235
720	12309	4217
721	12322	4198
722	12335	4180
723	12348	4161
724	12360	4143
725	12373	4124
726	12384	4105
727	12397	4087
728	12411	4069
729	12424	4050
730	12438	4032
731	12451	4014
732	12463	3995
733	12474	3976
734	12486	3958
735	12500	3940
736	12512	3921
737	12524	3903
738	12536	3884
739	12548	3866
740	12560	3847
741	12572	3829
742	12589	3812
743	12604	3795
744	12621	3777
745	12633	3759
746	12647	3741
747	12661	3723
748	12673	3705
749	12687	3687
750	12700	3669
751	12714	3652
752	12729	3634
753	12743	3616
754	12757	3599
755	12770	3581
756	12783	3563
757	12798	3545
758	12814	3528
759	12831	3511
760	12844	3493
761	12858	3476
762	12871	3458
763	12882	3439
764	12894	3421
765	12907	3403
766	12919	3385
767	12931	3367
768	12943	3349
769	12956	3331
770	12967	3313
771	12980	3295
772	12993	3277
773	13006	3259
774	13019	3242
775	13030	3224
776	13042	3205
777	13054	3188
778	13066	3170
779	13080	3152
780	13091	3134
781	13101	3116
782	13113	3098
783	13125	3080
784	13138	3062
785	13150	3045
786	13162	3027
787	13173	3009
788	13185	2991
789	13199	2973
790	13210	2956
791	13222	2938
792	13234	2920
793	13246	2902
794	13258	2885
795	13271	2867
796	13281	2849
797	13293	2831
798	13305	2814
799	13318	2796
800	13330	2779
801	13344	2762
802	13357	2744
803	13371	2727
804	13384	2710
805	13398	2692
806	13411	2675
807	13424	2658
808	13437	2641
809	13449	2623
810	13465	2606
811	13479	2589
812	13493	2572
813	13507	2555
814	13521	2538
815	13535	2521
816	13549	2504
817	13564	2487
818	13578	2470
819	13592	2453
820	13606	2436
821	13619	2419
822	13633	2402
823	13647	2384
824	13660	2367
825	13681	2351
826	13701	2336
827	13722	2320
828	13737	2303
829	13752	2286
830	13767	2269
831	13781	2252
832	13796	2235
833	13810	2218
834	13824	2201
835	13839	2185
836	13853	2168
837	13867	2151
838	13881	2134
839	13895	2117
840	13910	2100
841	13923	2083
842	13938	2066
843	13953	2049
844	13967	2033
845	13982	2016
846	13996	1999
847	14011	1982
848	14025	1965
849	14039	1948
850	14053	1932
851	14068	1915
852	14082	1898
853	14098	1881
854	14112	1865
855	14126	1848
856	14140	1831
857	14155	1814
858	14169	1798
859	14183	1781
860	14196	1764
861	14210	1747
862	14224	1730
863	14238	1713
864	14252	1697
865	14266	1680
866	14281	1663
867	14295	1646
868	14310	1630
869	14324	1613
870	14339	1596
871	14354	1580
872	14368	1563
873	14382	1546
874	14395	1530
875	14409	1513
876	14423	1496
877	14438	1479
878	14451	1463
879	14466	1446
880	14480	1429
881	14495	1413
882	14510	1396
883	14525	1380
884	14538	1363
885	14551	1346
886	14567	1330
887	14582	1313
888	14595	1296
889	14610	1280
890	14624	1263
891	14639	1247
892	14654	1230
893	14667	1214
894	14681	1197
895	14697	1181
896	14711	1164
897	14725	1147
898	14739	1131
899	14752	1114
900	14766	1098
901	14780	1081
902	14795	1065
903	14809	1048
904	14826	1032
905	14842	1015
906	14857	999
907	14874	982
908	14889	966
909	14904	949
910	14919	933
911	14935	917
912	14950	900
913	14965	884
914	14983	867
915	14999	851
916	15015	835
917	15032	818
918	15050	802
919	15067	786
920	15082	769
921	15098	753
922	15115	736
923	15133	720
924	15151	704
925	15169	688
926	15190	671
927	15231	656
928	15281	641
929	15300	625
930	15319	608
931	15368	593
932	15409	578
933	15451	562
934	15496	546
935	15516	530
936	15546	514
937	15581	498
938	15602	481
939	15626	465
940	15646	448
941	15663	432
942	15678	415
943	15694	399
944	15710	382
945	15725	365
946	15741	349
947	15758	332
948	15773	315
949	15789	299
950	15803	282
951	15818	265
952	15833	249
953	15852	232
954	15868	216
955	15884	199
956	15900	182
957	15917	166
958	15934	149
959	15952	132
960	15970	116
961	15990	99
962	16008	83
963	16027	66
964	16045	49
965	16061	33
966	16077	16
967	16100	0
